Klasa,Wavelength_um,A_Mean,A_Sigma,A_Mean_minus_sigma,A_Mean_plus_sigma,B_Mean,B_Sigma,B_Mean_minus_sigma,B_Mean_plus_sigma,C_Mean,C_Sigma,C_Mean_minus_sigma,C_Mean_plus_sigma,D_Mean,D_Sigma,D_Mean_minus_sigma,D_Mean_plus_sigma,K_Mean,K_Sigma,K_Mean_minus_sigma,K_Mean_plus_sigma,L_Mean,L_Sigma,L_Mean_minus_sigma,L_Mean_plus_sigma,O_Mean,O_Sigma,O_Mean_minus_sigma,O_Mean_plus_sigma,S_Mean,S_Sigma,S_Mean_minus_sigma,S_Mean_plus_sigma,V_Mean,V_Sigma,V_Mean_minus_sigma,V_Mean_plus_sigma,X_Mean,X_Sigma,X_Mean_minus_sigma,X_Mean_plus_sigma
O,0.65,,,,,,,,,,,,,,,,,,,,,,,,,1.0026598857142857,0.0,1.0026598857142857,1.0026598857142857,,,,,,,,,,,,
O,0.7,,,,,,,,,,,,,,,,,,,,,,,,,1.0075856,0.0,1.0075856,1.0075856,,,,,,,,,,,,
O,0.75,,,,,,,,,,,,,,,,,,,,,,,,,1.0125113142857143,0.0,1.0125113142857143,1.0125113142857143,,,,,,,,,,,,
O,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.9448370733333333,0.0,0.9448370733333333,0.9448370733333333,,,,,,,,,,,,
O,0.85,,,,,,,,,,,,,,,,,,,,,,,,,0.8516547400000001,0.0,0.8516547400000001,0.8516547400000001,,,,,,,,,,,,
O,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.7584724066666667,0.0,0.7584724066666667,0.7584724066666667,,,,,,,,,,,,
O,0.95,,,,,,,,,,,,,,,,,,,,,,,,,0.6652900733333336,0.0,0.6652900733333336,0.6652900733333336,,,,,,,,,,,,
O,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5721077400000001,0.0,0.5721077400000001,0.5721077400000001,,,,,,,,,,,,
O,1.05,,,,,,,,,,,,,,,,,,,,,,,,,0.4789254066666667,0.0,0.4789254066666667,0.4789254066666667,,,,,,,,,,,,
O,1.1,,,,,,,,,,,,,,,,,,,,,,,,,0.38574307333333335,0.0,0.38574307333333335,0.38574307333333335,,,,,,,,,,,,
O,1.15,,,,,,,,,,,,,,,,,,,,,,,,,0.2925607400000004,0.0,0.2925607400000004,0.2925607400000004,,,,,,,,,,,,
